date,終値,始値,高値,close
2023-01-04,25716.86,25834.93,25840.68,25661.89
2023-01-05,25820.8,25825.5,25947.1,25750.46
2023-01-06,25973.85,25740.08,26034.06,25719.61
2023-01-10,26175.56,26176.61,26316.66,26132.8
2023-01-11,26446.0,26362.21,26479.99,26332.05
2023-01-12,26449.82,26524.94,26547.61,26381.93
2023-01-13,26119.52,26391.78,26409.21,26090.84
2023-01-16,25822.32,25836.67,25938.04,25748.1
2023-01-17,26138.68,25915.51,26198.69,25895.3
2023-01-18,26791.12,26251.34,26816.68,26211.84
2023-01-19,26405.23,26541.08,26592.87,26368.97
2023-01-20,26553.53,26346.69,26553.53,26320.96
2023-01-23,26906.04,26880.21,26938.28,26788.76
2023-01-24,27299.19,27150.43,27381.0,27150.43
2023-01-25,27395.01,27175.88,27473.9,27175.88
2023-01-26,27362.75,27444.64,27502.15,27284.08
2023-01-27,27382.56,27428.41,27452.67,27326.91
2023-01-30,27433.4,27384.77,27486.42,27337.25
2023-01-31,27327.11,27458.56,27494.17,27302.22
2023-02-01,27346.88,27483.41,27547.67,27322.79
2023-02-02,27402.05,27453.67,27472.44,27338.43
2023-02-03,27509.46,27455.03,27612.57,27445.69
2023-02-06,27693.65,27764.66,27821.22,27656.47
2023-02-07,27685.47,27744.9,27814.96,27662.11
2023-02-08,27606.46,27690.74,27719.45,27458.53
2023-02-09,27584.35,27453.4,27635.38,27424.69
2023-02-10,27670.98,27711.25,27814.02,27609.33
2023-02-13,27427.32,27550.35,27570.32,27266.94
2023-02-14,27602.77,27705.37,27721.82,27553.18
2023-02-15,27501.86,27686.01,27720.27,27444.13
2023-02-16,27696.44,27654.72,27727.66,27597.12
2023-02-17,27513.13,27484.6,27608.59,27466.61
2023-02-20,27531.94,27497.13,27531.94,27426.48
2023-02-21,27473.1,27486.09,27538.29,27359.12
2023-02-22,27104.32,27265.99,27300.53,27046.08
2023-02-24,27453.48,27144.72,27465.9,27128.32
2023-02-27,27423.96,27322.73,27456.22,27292.74
2023-02-28,27445.56,27515.34,27585.17,27400.36
2023-03-01,27516.53,27363.57,27530.76,27305.37
2023-03-02,27498.87,27564.82,27617.8,27408.54
2023-03-03,27927.47,27683.26,27961.21,27655.34
2023-03-06,28237.78,28182.31,28288.62,28153.82
2023-03-07,28309.16,28202.59,28398.27,28202.59
2023-03-08,28444.19,28237.21,28469.41,28232.68
2023-03-09,28623.15,28648.11,28734.79,28558.88
2023-03-10,28143.97,28385.29,28424.24,28118.74
2023-03-13,27832.96,27886.21,27906.97,27631.53
2023-03-14,27222.04,27455.95,27455.95,27104.75
2023-03-15,27229.48,27421.66,27424.94,27105.99
2023-03-16,27010.61,26796.67,27057.54,26632.92
2023-03-17,27333.79,27232.23,27356.15,27071.71
2023-03-20,26945.67,27253.73,27367.18,26945.67
2023-03-22,27466.61,27298.15,27520.97,27267.26
2023-03-23,27419.61,27232.97,27461.97,27175.63
2023-03-24,27385.25,27368.62,27397.29,27257.44
2023-03-27,27476.87,27482.39,27543.48,27359.72
2023-03-28,27518.25,27573.82,27603.45,27432.76
2023-03-29,27883.78,27549.37,27897.72,27505.48
2023-03-30,27782.93,27827.89,27876.38,27630.55
