date,total_aum_bn
20250707,74.02
20250708,74.28
20250709,75.44
20250710,75.81
20250711,75.08
20250714,75.31
20250715,75.42
20250716,75.33
20250717,76.24
20250718,76.16
20250721,76.18
20250722,75.05
20250723,75.51
20250724,75.68
20250725,76.1
20250728,76.96
20250729,76.72
20250730,76.63
20250731,74.39
20250801,71.31
20250804,73.46
20250805,72.17
20250806,73.21
20250807,73.56
20250808,74.41
20250811,73.14
20250812,75.37
20250813,75.41
20250814,75.15
20250815,73.66
20250818,73.56
20250819,71.8
20250820,70.77
20250821,70.08
20250822,73.1
20250825,72.46
20250826,73.14
20250827,73.55
20250828,74.28
20250829,71.53
20250902,70.51
20250903,71.56
20250904,73.02
20250905,73.17
20250908,73.36
20250909,73.46
20250910,73.77
20250911,74.61
20250912,74.54
20250915,75.84
20250916,75.59
20250917,75.06
20250918,77.05
20250919,77.24
20250922,77.93
20250923,76.76
20250924,76.06
20250925,75.47
20250926,76.16
20250929,76.56
20250930,77.18
20251001,78.62
20251002,79.25
20251003,78.44
20251006,79.95
20251007,77.55
20251008,80.68
20251009,79.88
20251010,73.0
20251013,76.83
20251014,76.44
20251015,77.86
20251016,76.87
20251017,77.41
20251020,79.36
20251021,78.48
20251022,75.91
20251023,78.15
20251024,79.89
20251027,82.24
20251028,83.7
20251029,84.74
20251030,81.97
20251031,82.6
20251103,83.1
20251104,78.59
20251105,80.81
20251106,77.24
20251107,76.55
20251110,81.39
20251111,80.13
20251112,80.64
20251113,76.24
20251114,76.44
20251117,74.25
20251118,72.34
20251119,73.91
20251120,69.76
20251121,71.4
20251124,75.79
20251125,77.42
20251126,79.58
20251128,81.21
20251201,80.17
20251202,81.75
20251203,82.9
20251204,81.68
20251205,82.55
20251208,82.38
20251209,82.31
20251210,83.24
20251211,82.21
20251212,77.3
20251215,76.59
20251216,76.93
20251217,73.5
20251218,76.74
20251219,79.37
20251222,80.75
20251223,81.7
20251224,82.15
20251226,81.82
20251229,80.48
20251230,79.91
20251231,77.99
20260102,79.24
20260105,80.21
20260106,81.63
20260107,80.64
20260108,79.33
20260109,81.49
20260112,81.34
20260113,81.26
20260114,79.42
20260115,80.63
20260116,80.26
20260120,76.08
20260121,79.31
20260122,80.03
20260123,79.28
20260126,79.52
20260127,81.22
20260128,82.22
20260129,80.59
20260130,76.84
20260202,78.42
20260203,76.02
20260204,73.11
20260205,71.73
20260206,76.67
20260209,77.64
20260210,76.43
20260211,77.34
20260212,73.19
20260213,73.6
20260217,73.93
20260218,74.83
20260219,74.0
20260220,75.34
20260223,73.39
20260224,75.17
20260225,77.06
20260226,73.91
20260227,72.88
20260302,73.72
20260303,70.63
20260304,73.63
20260305,72.83
20260306,69.37
20260309,72.63
20260310,73.42
20260311,72.86
20260312,69.2
20260313,68.75
20260316,70.73
20260317,71.25
20260318,68.87
20260319,68.52
20260320,65.99
20260323,69.36
20260324,66.26
20260325,67.45
20260326,62.87
20260327,61.35
20260330,59.6
20260331,66.14
20260401,68.91
20260402,68.49
20260406,69.12
20260407,69.02
20260408,74.04
20260409,74.08
20260410,74.34
20260413,75.03
20260414,77.5
20260415,80.25
20260416,80.96
20260417,83.27
20260420,81.91
20260421,80.99
20260422,83.78
20260423,83.86
20260424,87.32
20260427,86.32
20260428,83.0
20260429,84.42
20260430,87.02
20260501,88.11
20260504,86.49
20260505,90.5
20260506,95.73
20260507,93.8
20260508,99.26
20260511,99.87
20260512,96.64
20260513,100.79
20260514,101.78
20260515,96.59
20260518,94.27
20260519,94.51
20260520,100.23
20260521,100.71
20260522,101.85
20260526,107.94
20260527,105.53
20260528,107.92
20260529,108.49
20260601,109.5
20260602,114.31
20260603,114.42
20260604,111.46
20260605,95.05
20260608,101.61
20260609,99.02
20260610,93.9
20260611,104.21
20260612,106.25
20260615,114.72
20260616,106.52
20260617,105.68
20260618,114.82
20260622,114.92
20260623,101.59
20260624,101.44
20260625,105.87
20260626,99.39
20260629,106.2
20260630,112.02
20260701,104.07
20260702,97.98
20260706,102.57
20260707,96.3
20260708,99.03
20260709,103.75
20260710,104.12
20260713,97.38
20260714,101.2
20260715,99.58
20260716,94.39
20260717,91.98
20260720,93.06
20260721,99.01
20260722,98.46
20260723,94.73
20260724,90.72
20260727,89.12
20260728,85.9
20260729,81.42
20260730,90.3
20260731,91.42
20260803,94.86
20260804,103.44
20260805,101.17
20260806,100.48
20260807,103.54
20260810,103.54
20260812,101.26
20260813,106.4
20260814,106.43
20260817,105.71
20260818,99.88
