date,total_bn,total_aum_bn
20260721,17.15,
20260722,0.01,
20260723,-0.66,
20260724,,
20260727,-22.51,
20260728,-12.36,
20260729,,
20260730,28.04,
20260731,28.04,
20260803,2.56,
20260804,25.3,
20260805,25.3,
20260806,-6.64,
20260807,7.05,
20260810,7.05,
20260812,-0.05,
20260813,5.19,
20260814,5.19,
20260817,-0.8,
20260818,-12.76,
20260819,-2.07,
20260820,-3.3,
20260821,0.76,
20260824,-6.96,
20260825,-6.29,
20260826,0.58,
20260827,0.58,
20260828,-6.34,
20260831,-0.86,
20260901,-6.2,
20260902,-6.79,
