type,expiry,strike,oi
C,2608,42750,27
C,2608,49000,27
C,2608,55000,1
C,2608,56000,1
C,2608,57000,4
C,2608,58000,850
C,2608,59500,20
C,2608,59750,50
C,2608,60000,228
C,2608,60500,120
C,2608,61000,403
C,2608,61500,200
C,2608,62000,104
C,2608,62500,16
C,2608,63000,2131
C,2608,63375,5
C,2608,63500,11
C,2608,63625,5
C,2608,63750,9
C,2608,63875,10
C,2608,64000,611
C,2608,64125,30
C,2608,64250,20
C,2608,64375,20
C,2608,64500,14
C,2608,64625,15
C,2608,64750,38
C,2608,64875,15
C,2608,65000,1108
C,2608,65125,78
C,2608,65250,120
C,2608,65375,20
C,2608,65500,239
C,2608,65625,10
C,2608,65750,455
C,2608,66000,255
C,2608,66250,2
C,2608,66375,2
C,2608,66500,84
C,2608,66625,1
C,2608,66750,1
C,2608,66875,121
C,2608,67000,935
C,2608,67125,208
C,2608,67250,79
C,2608,67375,76
C,2608,67500,243
C,2608,67625,18
C,2608,67750,236
C,2608,67875,1
C,2608,68000,1597
C,2608,68125,456
C,2608,68250,259
C,2608,68500,600
C,2608,68625,20
C,2608,68750,100
C,2608,68875,75
C,2608,69000,1418
C,2608,69125,55
C,2608,69250,42
C,2608,69375,40
C,2608,69500,142
C,2608,69625,1
C,2608,69750,542
C,2608,70000,2204
C,2608,70125,1
C,2608,70250,29
C,2608,70375,35
C,2608,70500,90
C,2608,70625,1
C,2608,70750,42
C,2608,70875,5
C,2608,71000,897
C,2608,71125,1
C,2608,71250,77
C,2608,71375,1
C,2608,71500,341
C,2608,71625,1
C,2608,71750,33
C,2608,71875,35
C,2608,72000,1147
C,2608,72125,15
C,2608,72250,7
C,2608,72375,1
C,2608,72500,826
C,2608,72750,2
C,2608,72875,2
C,2608,73000,2294
C,2608,73125,11
C,2608,73250,21
C,2608,73375,1
C,2608,73500,740
C,2608,73625,3
C,2608,73750,24
C,2608,74000,991
C,2608,74125,34
C,2608,74250,8
C,2608,74375,20
C,2608,74500,184
C,2608,74625,24
C,2608,74750,4
C,2608,74875,17
C,2608,75000,2195
C,2608,75125,16
C,2608,75250,3
C,2608,75375,20
C,2608,75500,377
C,2608,76000,709
C,2608,76500,71
C,2608,77000,564
C,2608,77500,868
C,2608,78000,1918
C,2608,78500,35
C,2608,79000,194
C,2608,79500,42
C,2608,80000,1586
C,2608,80500,48
C,2608,81000,322
C,2608,81500,13
C,2608,82000,1240
C,2608,82500,31
C,2608,83000,546
C,2608,83500,21
C,2608,84000,124
C,2608,84500,13
C,2608,85000,1077
C,2608,85750,165
C,2608,87500,158
C,2608,88000,229
C,2608,90000,628
C,2608,92000,69
C,2608,94000,96
C,2608,95000,187
C,2608,96000,31
C,2608,98000,37
C,2608,100000,119
C,2609,30000,3750
C,2609,37000,1
C,2609,42000,101
C,2609,42500,10
C,2609,43000,100
C,2609,43500,57
C,2609,45000,41
C,2609,48000,400
C,2609,48500,240
C,2609,49000,200
C,2609,50000,4650
C,2609,50500,50
C,2609,51000,141
C,2609,51250,210
C,2609,52000,350
C,2609,53000,1100
C,2609,53500,400
C,2609,53750,150
C,2609,54000,1056
C,2609,54250,50
C,2609,54500,200
C,2609,54750,90
C,2609,55000,661
C,2609,56000,1250
C,2609,56500,79
C,2609,57000,850
C,2609,57500,384
C,2609,58000,1101
C,2609,59000,1096
C,2609,60000,786
C,2609,60500,700
C,2609,60750,120
C,2609,61000,220
C,2609,61250,21
C,2609,61500,1
C,2609,62000,1301
C,2609,62500,500
C,2609,63000,956
C,2609,63250,1
C,2609,63500,1
C,2609,64000,1212
C,2609,64250,100
C,2609,64375,2
C,2609,64500,3
C,2609,65000,4135
C,2609,65375,1
C,2609,65500,150
C,2609,66000,1766
C,2609,66250,28
C,2609,66750,0
C,2609,67000,2512
C,2609,67500,2150
C,2609,67750,180
C,2609,68000,1570
C,2609,68250,4
C,2609,68500,101
C,2609,68625,1
C,2609,68750,22
C,2609,69000,1049
C,2609,69250,8
C,2609,69500,172
C,2609,69625,3
C,2609,69750,485
C,2609,70000,2134
C,2609,70125,1
C,2609,70250,9
C,2609,70500,25
C,2609,70750,2
C,2609,71000,1755
C,2609,71125,16
C,2609,71250,2
C,2609,71500,1204
C,2609,71625,2
C,2609,72000,1738
C,2609,72250,0
C,2609,72500,919
C,2609,72750,2
C,2609,73000,1401
C,2609,73250,1
C,2609,73500,407
C,2609,73625,2
C,2609,74000,1350
C,2609,74500,102
C,2609,75000,2480
C,2609,75250,22
C,2609,75500,104
C,2609,76000,269
C,2609,76500,26
C,2609,77000,699
C,2609,77500,964
C,2609,78000,1453
C,2609,78500,8
C,2609,79000,4
C,2609,79500,200
C,2609,80000,935
C,2609,80500,3
C,2609,81000,180
C,2609,81500,2
C,2609,82000,24
C,2609,82500,1
C,2609,83000,808
C,2609,83500,1
C,2609,84000,753
C,2609,84500,4
C,2609,85000,865
C,2609,87500,8
C,2609,90000,83
C,2609,92000,17
C,2609,94000,1
C,2609,95000,4
C,2609,98000,6
C,2609,100000,30
C,2610,47500,34
C,2610,53000,34
C,2610,55000,4
C,2610,57000,2
C,2610,60500,100
C,2610,61000,200
C,2610,62000,28
C,2610,63000,4
C,2610,64000,31
C,2610,65000,1
C,2610,65250,1
C,2610,66000,100
C,2610,67500,1
C,2610,68000,80
C,2610,69000,100
C,2610,69500,1
C,2610,70000,560
C,2610,70750,1
C,2610,71500,2
C,2610,72000,182
C,2610,73000,3
C,2610,74500,127
C,2610,75000,2035
C,2610,76000,301
C,2610,77000,992
C,2610,77500,1
C,2610,78000,2
C,2610,79000,4
C,2610,80000,456
C,2610,81000,400
C,2610,82000,2
C,2610,83000,4
C,2610,83500,5
C,2610,84000,1
C,2610,85000,100
C,2610,87500,1
C,2610,90000,9
C,2610,95000,6
C,2610,100000,25
P,2608,20000,2163
P,2608,22000,327
P,2608,24000,310
P,2608,25000,5274
P,2608,26000,129
P,2608,27000,178
P,2608,28000,244
P,2608,29000,229
P,2608,30000,5923
