date,put_volume,call_volume,pcr
20260717,33283,23733,1.402
20260721,33485,15796,2.12
20260722,18754,13837,1.355
20260723,16662,8446,1.973
20260724,24247,11240,2.157
20260727,21148,10603,1.995
20260728,35728,25764,1.387
20260729,31925,26310,1.213
20260730,25367,19480,1.302
20260731,28281,19243,1.47
20260803,17373,11349,1.531
20260804,30650,15035,2.039
20260805,40094,23533,1.704
20260806,30049,14933,2.012
20260807,30557,13200,2.315
20260810,28329,14646,1.934
20260812,32240,23895,1.349
20260813,35821,25264,1.418
20260814,24514,8529,2.874
20260817,22215,11357,1.956
