date,put_volume,call_volume,pcr,mini_put,mini_call
20260728,37114.5,29715.6,1.249,13865,39516
20260729,33715.0,30202.0,1.116,17900,38920
20260730,28446.6,23251.6,1.223,30796,37716
20260731,30194.6,21565.0,1.4,19136,23220
20260803,19229.8,13366.2,1.439,18568,20172
20260804,32467.0,16686.7,1.946,18170,16517
20260805,43849.8,26222.3,1.672,37558,26893
20260806,33411.7,17422.2,1.918,33627,24892
20260807,31907.0,14600.7,2.185,13500,14007
20260810,29977.9,16096.4,1.862,16489,14504
20260812,34485.1,25763.3,1.339,22451,18683
20260813,39332.7,28492.1,1.38,35117,32281
20260814,26922.2,10035.8,2.683,24082,15068
20260817,25828.2,13352.9,1.934,36132,19959
20260818,25132.5,13896.2,1.809,31585,18092
20260819,32402.8,15881.4,2.04,34578,31824
20260820,22017.2,21336.8,1.032,33632,29858
20260821,17715.8,13173.6,1.345,20798,18726
20260824,20182.1,13465.3,1.499,17921,16183
20260825,19742.3,12113.2,1.63,23023,19562
20260826,23991.7,14565.2,1.647,23647,19042
20260827,30438.2,20063.8,1.517,30482,32688
20260828,29751.0,18009.2,1.652,18150,14132
