date,spot,total_gex_bn,flip
20260717,7457.69,-3.51,
20260721,7509.2,-0.16,
20260722,7499.25,-4.36,
20260723,7498.96,-18.86,
20260724,7411.98,-32.78,
20260727,7429.16,-23.21,
20260728,7428.78,-2.56,
20260729,7428.78,-2.25,
20260730,7437.63,-6.31,
20260731,7437.63,35.7,7540.0
20260803,7489.72,62.77,7560.0
20260804,7736.52,84.19,7640.0
20260805,7736.52,96.12,7700.0
20260806,7723.55,63.03,7750.0
20260807,7757.64,102.22,7730.0
20260810,7757.64,65.77,7780.0
20260812,7728.2,42.04,7830.0
20260813,7798.99,282.85,7780.0
20260814,7798.99,97.55,7800.0
20260817,7785.76,63.41,7825.0
20260818,7691.76,-26.92,
20260819,7716.02,4.65,8075.0
20260820,7707.98,-2.4,
20260821,7674.37,-16.76,6920.0
20260824,7649.34,-40.16,
20260825,7652.86,14.36,7900.0
20260826,7675.7,18.35,6920.0
20260827,7675.7,25.41,6920.0
20260828,7711.76,12.88,7900.0
20260831,7678.27,-22.83,
20260901,7644.04,-43.42,
