month,sq_date,sq_value,nikkei_open,diff,major
2021-01,2021-01-08,27774.95,,,False
2021-02,2021-02-12,29718.77,,,False
2021-03,2021-03-12,29282.41,,,True
2021-04,2021-04-09,29909.73,,,False
2021-05,2021-05-14,27748.22,,,False
2021-06,2021-06-11,29046.4,,,True
2021-07,2021-07-09,27726.72,,,False
2021-08,2021-08-13,28093.15,,,False
2021-09,2021-09-10,30085.93,,,True
2021-10,2021-10-08,28098.14,,,False
2021-11,2021-11-12,29388.47,,,False
2021-12,2021-12-10,28523.3,,,True
2022-01,2022-01-14,28266.57,,,False
2022-02,2022-02-10,27835.6,,,False
2022-03,2022-03-11,25457.94,,,True
2022-04,2022-04-08,27122.37,,,False
2022-05,2022-05-13,25951.24,,,False
2022-06,2022-06-10,28122.81,,,True
2022-07,2022-07-08,26659.58,,,False
2022-08,2022-08-12,28525.62,,,False
2022-09,2022-09-09,28253.4,,,True
2022-10,2022-10-14,26666.31,,,False
2022-11,2022-11-11,28225.86,,,False
2022-12,2022-12-09,27576.37,,,True
2023-01,2023-01-13,26325.21,26391.78,-66.57,False
2023-02,2023-02-10,27779.75,27711.25,68.5,False
2023-03,2023-03-10,28377.34,28385.29,-7.95,True
2023-04,2023-04-14,28519.43,28321.54,197.89,False
2023-05,2023-05-12,29235.08,29199.3,35.78,False
2023-06,2023-06-09,32018.38,31927.38,91.0,True
2023-07,2023-07-14,32484.24,32587.9,-103.66,False
2023-08,2023-08-10,32013.86,32015.96,-2.1,False
2023-09,2023-09-08,32921.39,32916.25,5.14,True
2023-10,2023-10-13,32360.91,32328.39,32.52,False
2023-11,2023-11-10,32454.88,32491.24,-36.36,False
2023-12,2023-12-08,32639.57,32600.47,39.1,True
2024-01,2024-01-12,36025.97,35601.65,424.32,False
2024-02,2024-02-09,37018.07,36915.44,102.63,False
2024-03,2024-03-08,39863.92,39809.56,54.36,True
2024-04,2024-04-12,39820.59,39722.02,98.57,False
2024-05,2024-05-10,38509.47,38361.79,147.68,False
2024-06,2024-06-14,38535.35,38587.57,-52.22,True
2024-07,2024-07-12,41531.26,41668.86,-137.6,False
2024-08,2024-08-09,35661.68,35272.34,389.34,False
2024-09,2024-09-13,36906.92,36882.41,24.51,True
2024-10,2024-10-11,39701.93,39636.87,65.06,False
2024-11,2024-11-08,39901.35,39783.45,117.9,False
2024-12,2024-12-13,39434.85,39624.05,-189.2,True
2025-01,2025-01-10,39343.19,39550.25,-207.06,False
2025-02,2025-02-14,39432.64,39419.25,13.39,False
2025-03,2025-03-14,36483.79,36606.78,-122.99,True
2025-04,2025-04-11,32737.29,33951.25,-1213.96,False
2025-05,2025-05-09,37572.13,37332.57,239.56,False
2025-06,2025-06-13,38172.67,38130.25,42.42,True
2025-07,2025-07-11,40004.61,39886.54,118.07,False
2025-08,2025-08-08,41368.58,41283.7,84.88,False
2025-09,2025-09-12,45016.28,44803.3,212.98,True
2025-10,2025-10-10,48779.14,48510.72,268.42,False
2025-11,2025-11-14,50323.66,50767.74,-444.08,False
2025-12,2025-12-12,50536.54,50480.23,56.31,True
2026-01,2026-01-09,51525.23,51367.98,157.25,False
2026-02,2026-02-13,57045.65,57197.33,-151.68,False
2026-03,2026-03-13,52909.45,53587.3,-677.85,True
2026-04,2026-04-10,56572.89,56265.77,307.12,False
2026-05,2026-05-08,62628.64,62654.01,-25.37,False
2026-06,2026-06-12,66698.04,65176.23,1521.81,True
2026-07,2026-07-10,69171.55,68526.72,644.83,False
2026-08,2026-08-14,69702.13,68811.17,890.96,False
