product,participant,net,net_prev,change
TOPIX先物,みずほ証券,1241,2833,-1592
TOPIX先物,インタラクティブ証券,-82,76,-158
TOPIX先物,ゴールドマン証券,-27642,-26601,-1041
TOPIX先物,サスケハナ・ホンコン,-31,-78,47
TOPIX先物,シティグループ証券,23661,21478,2183
TOPIX先物,ソシエテＧ証券,11631,11608,23
TOPIX先物,ドイツ証券,3093,2038,1055
TOPIX先物,バークレイズ証券,2332,-797,3129
TOPIX先物,ビーオブエー証券,17989,18976,-987
TOPIX先物,フィリップ証券,25,29,-4
TOPIX先物,モルガンＭＵＦＧ証券,17296,14868,2428
TOPIX先物,三菱ＵＦＪ証券,-7169,-6229,-940
TOPIX先物,三菱ＵＦＪｅスマート,166,153,13
TOPIX先物,大和証券,-2356,-3156,800
TOPIX先物,岡三証券,-162,-172,10
TOPIX先物,広田証券,0,34,-34
TOPIX先物,日産証券,846,886,-40
TOPIX先物,東海東京証券,-24,-16,-8
TOPIX先物,松井証券,109,243,-134
TOPIX先物,立花証券,-1240,-1240,0
TOPIX先物,豊証券,0,-14,14
TOPIX先物,野村証券,-15128,-14633,-495
TOPIX先物,ＡＢＮクリアリン証券,-1755,-1811,56
TOPIX先物,ＢＮＰパリバ証券,-20618,-19833,-785
TOPIX先物,ＨＳＢＣ証券,-18821,-19005,184
TOPIX先物,ＪＰモルガン証券,25678,29375,-3697
TOPIX先物,ＳＢＩ証券,-7330,-8165,835
TOPIX先物,ＳＭＢＣ日興証券,-1149,2493,-3642
TOPIX先物,ＵＢＳ証券,-507,-3321,2814
日経225mini,みずほ証券,2994,4000,-1006
日経225mini,インタラクティブ証券,2083,0,2083
日経225mini,ゴールドマン証券,-3945,13500,-17445
日経225mini,サスケハナ・ホンコン,3176,0,3176
日経225mini,シティグループ証券,6060,6000,60
日経225mini,ソシエテＧ証券,-35573,1165,-36738
日経225mini,ドイツ証券,-92,-4,-88
日経225mini,バークレイズ証券,-65824,611,-66435
日経225mini,ビーオブエー証券,19787,-15497,35284
日経225mini,フィリップ証券,2007,-9,2016
日経225mini,マネックス証券,0,29,-29
日経225mini,モルガンＭＵＦＧ証券,14278,15653,-1375
日経225mini,三菱ＵＦＪ証券,3729,-1500,5229
